__id__,AX1,AY1,AZ1,GX1,GY1,GZ1,labels
2:02:26,-0.15,6.54,7.55,-0.07,0,-0.06,
2:02:27,-0.08,6.58,7.67,-0.09,0.1,0.01,
2:02:28,-0.08,6.6,7.57,-0.04,0.04,-0.03,
2:02:29,0.06,6.55,7.52,-0.08,0.04,-0.01,
2:02:30,0.19,6.54,7.61,-0.09,0,-0.05,
2:02:31,-0.05,6.46,7.76,-0.08,0.04,-0.01,
2:02:32,0.09,6.62,7.62,-0.09,0.08,-0.01,
2:02:33,0.05,6.61,7.62,-0.1,0.03,0,
2:02:34,-0.28,6.66,7.55,-0.09,0.07,-0.02,
2:02:35,0.02,6.67,7.5,-0.07,0.04,-0.04,
2:02:36,-0.21,6.57,7.57,-0.09,0.03,-0.02,
2:02:37,-0.36,6.65,7.61,-0.12,0.06,0.02,
2:02:38,-0.08,6.64,7.63,-0.11,0.02,-0.03,
2:02:39,-0.1,6.51,7.58,-0.11,0.01,-0.02,
2:02:40,-0.05,6.49,7.68,-0.15,0.09,0.01,
2:02:41,-0.3,6.42,7.75,-0.06,0.02,-0.01,
2:02:42,-0.34,6.46,7.62,-0.09,0.01,-0.01,
2:02:43,-0.4,6.45,7.72,-0.1,0.06,0.02,
2:02:44,-0.26,6.37,7.73,-0.06,0.03,-0.03,
2:02:45,-0.08,6.55,7.63,-0.07,0.05,0,
2:02:46,0.53,6.39,7.48,-0.03,-0.1,-0.06,
2:02:47,-0.17,6.48,7.66,0,0.08,-0.08,
2:02:48,-0.28,6.61,7.53,-0.1,0.06,-0.05,
2:02:49,-0.19,6.47,7.79,-0.09,0.04,0,
2:02:50,-0.2,6.58,7.71,-0.09,0.04,-0.03,
2:02:51,-0.22,6.48,7.6,-0.1,0.03,-0.03,
2:02:52,-0.53,6.55,7.46,-0.05,0.01,-0.05,
2:02:53,-0.64,7.24,7,-0.11,0.04,-0.01,
2:02:54,-0.14,6.97,7.24,-0.1,-0.01,-0.02,
2:02:55,-0.16,6.79,7.47,-0.05,0.03,-0.04,
2:02:56,-0.06,6.73,7.37,-0.08,0.02,-0.02,
2:02:57,-0.15,6.89,7.34,-0.07,0.04,-0.01,
2:02:58,-0.17,6.8,7.14,-0.12,0.01,-0.01,
2:02:59,-0.52,6.93,7.24,-0.12,0,-0.01,
2:03:00,-0.3,6.98,7.19,-0.08,0.05,0.07,
2:03:01,-0.46,6.86,7.06,-0.07,0.03,0.01,
